[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.010104s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.010237s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001200s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001277s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.004017s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.004115s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.073866s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.073976s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001886s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001864s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001493s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.004300s ]
[ 2014-10-05T14:29:09+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009782s ]
