[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.023272s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.023377s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000688s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000786s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.002478s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002568s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.069293s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.069426s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.014211s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001350s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001042s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001218s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018080s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001109s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001193s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000700s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000791s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000529s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000598s ]
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-15T10:56:05+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001536s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001689s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001103s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001228s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001556s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001693s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.014278s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014422s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000935s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000997s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000511s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000934s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003679s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000602s ]
[ 2014-10-15T10:56:06+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000673s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | INFO: Tag[ app_begin ] --START--
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001086s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001233s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [8] Undefined variable: get CommonAction.class.php 第 159 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 159 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008484s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000334s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005595s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.015956s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.015433s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.002294s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000851s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: UPDATE `xt_fck` SET `day_feng`=0,_times=1413302400 WHERE _times !=1413302400 [ RunTime:0.000716s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.055491s ]
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-15T10:56:16+08:00 ] /ak911/index.php | SQL: SELECT SUM(b1) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413302400) AND (`e_date` < 1413388800)  ) LIMIT 1   [ RunTime:0.021412s ]
